imdb_id,name,genre,dataset_genre,topic1,topic2,topic3,topic4,topic5
tt0407887,The Departed,"Crime, Drama, Thriller",crime,"['scorsese', 'performance', 'say', 'really', 'moment', 'best', 'long', 'great', 'time', 'deliver']","['scorsese', 'depart', 'really', 'make', 'character', 'say', 'like', 'affair', 'think', 'original']","['scorsese', 'depart', 'infernal', 'affair', 'story', 'end', 'police', 'character', 'film', 'scene']","['depart', 'infernal', 'affair', 'end', 'scene', 'original', 'really', 'yan', 'mole', 'kill']","['time', 'make', 'character', 'original', 'like', 'good', 'mark', 'depart', 'leonardo', 'matt']"
tt3417422,Drishyam,"Crime, Drama, Thriller",crime,"['family', 'malayalam', 'role', 'time', 'theater', 'act', 'crime', 'character', 'watch', 'scene']","['role', 'character', 'really', 'make', 'way', 'jeethu', 'sahadevan', 'police', 'shajon', 'mr']","['family', 'malayalam', 'half', 'time', 'movie', 'act', 'make', 'watch', 'character', 'stand']","['watch', 'like', 'joseph', 'movie', 'family', 'mohanlal', 'industry', 'indian', 'dhrishyam', 'drishyam']","['drishyam', 'time', 'watch', 'make', 'indian', 'movie', 'thrill', 'jeethu', 'start', 'outstanding']"
tt7286456,Joker,"Crime, Drama, Thriller",crime,"['joaquin', 'phoenix', 'joker', 'oscar', 'score', 'performance', 'book', 'comic', 'best', 'heath']","['joker', 'act', 'phoenix', 'joaquin', 'movie', 'good', 'performance', 'superhero', 'ledger', 'time']","['way', 'character', 'phoenix', 'story', 'time', 'different', 'critic', 'far', 'best', 'make']","['joaquin', 'good', 'cinematography', 'people', 'need', 'todd', 'phoenix', 'enjoy', 'money', 'doesnt']","['joker', 'make', 'feel', 'great', 'character', 'performance', 'bad', 'think', 'best', 'phoenix']"
tt0038650,It's a Wonderful Life,"Drama, Family, Fantasy",drama,"['life', 'good', 'stewart', 'make', 'character', 'best', 'christmas', 'year', 'great', 'time']","['life', 'bailey', 'george', 'wonderful', 'man', 'potter', 'great', 'time', 'make', 'like']","['life', 'wonderful', 'make', 'george', 'end', 'time', 'mary', 'think', 'capra', 'great']","['christmas', 'watch', 'life', 'george', 'wonderful', 'really', 'husband', 'bailey', 'think', 'say']","['stewart', 'george', 'bailey', 'potter', 'life', 'scene', 'mr', 'christmas', 'great', 'family']"
tt0050083,12 Angry Men,Drama,drama,"['juror', 'man', 'character', 'great', 'case', 'make', 'room', 'fonda', 'men', 'say']","['true', 'actor', 'write', 'murder', 'verdict', 'film', 'witness', 'way', 'henry', 'fonda']","['juror', 'men', 'boy', 'great', 'murder', 'fonda', 'angry', 'script', 'set', 'personality']","['fonda', 'juror', 'jury', 'make', 'time', 'henry', 'men', 'really', 'guilty', 'doubt']","['make', 'like', 'men', 'angry', 'great', 'henry', 'case', 'vote', 'guilty', 'fonda']"
tt0056058,Harakiri,"Drama, History",drama,"['samurai', 'seppuku', 'harakiri', 'say', 'tell', 'great', 'honor', 'story', 'die', 'kurosawa']","['samurai', 'time', 'japanese', 'make', 'like', 'clan', 'story', 'tale', 'think', 'saw']","['samurai', 'harakiri', 'act', 'masaki', 'story', 'code', 'kobayashi', 'human', 'period', 'make']","['hanshiro', 'motome', 'clan', 'ronin', 'blade', 'sword', 'ii', 'bamboo', 'make', 'seppuku']","['samurai', 'japan', 'japanese', 'harakiri', 'film', 'story', 'end', 'clan', 'great', 'seppuku']"
tt0073486,One Flew Over the Cuckoo's Nest,Drama,drama,"['best', 'jack', 'nicholson', 'mcmurphy', 'nurse', 'patient', 'performance', 'fletcher', 'play', 'make']","['hospital', 'today', 'like', 'psychiatric', 'time', 'need', 'fight', 'cast', 'abuse', 'point']","['world', 'act', 'make', 'story', 'point', 'great', 'perfect', 'character', 'nicholson', 'amaze']","['nicholson', 'mcmurphy', 'make', 'mental', 'nurse', 'cuckoo', 'jack', 'nest', 'actor', 'flew']","['mcmurphy', 'ratch', 'institution', 'like', 'freedom', 'good', 'thing', 'way', 'ward', 'nurse']"
tt0095765,Cinema Paradiso,Drama,drama,"['version', 'salvatore', 'second', 'longer', 'time', 'way', 'change', 'maybe', 'seek', 'marries']","['like', 'life', 'end', 'long', 'italian', 'movie', 'maybe', 'yes', 'away', 'real']","['version', 'min', 'cut', 'director', 'watch', 'paradiso', 'cinema', 'time', 'relationship', 'come']","['cinema', 'love', 'story', 'movie', 'life', 'toto', 'director', 'salvatore', 'paradiso', 'time']","['love', 'version', 'movie', 'story', 'shorter', 'character', 'elena', 'make', 'want', 'director']"
tt0109830,Forrest Gump,"Drama, Romance",drama,"['like', 'life', 'say', 'story', 'great', 'watch', 'american', 'feel', 'think', 'forrest']","['forrest', 'gump', 'jenny', 'love', 'like', 'people', 'time', 'think', 'life', 'really']","['forrest', 'life', 'best', 'gump', 'youre', 'make', 'hank', 'role', 'watch', 'actor']","['life', 'like', 'right', 'jenny', 'forrest', 'review', 'make', 'think', 'time', 'read']","['hank', 'tom', 'gump', 'forrest', 'watch', 'great', 'oscar', 'best', 'make', 'win']"
tt0111161,The Shawshank Redemption,Drama,drama,"['shawshank', 'redemption', 'film', 'darabont', 'prison', 'hope', 'create', 'life', 'story', 'andy']","['best', 'watch', 'music', 'world', 'hate', 'review', 'age', 'young', 'stand', 'impressed']","['andy', 'hope', 'shawshank', 'prison', 'great', 'life', 'say', 'best', 'robbins', 'make']","['time', 'shawshank', 'redemption', 'say', 'hope', 'make', 'prison', 'andy', 'best', 'watch']","['best', 'story', 'dufresne', 'morgan', 'freeman', 'thing', 'watch', 'time', 'andy', 'good']"
