imdb_id,name,genre,dataset_genre,topic1,topic2,topic3,topic4,topic5
tt0027977,Modern Times,"Comedy, Drama, Family, Romance",comedy,"['tramp', 'chaplin', 'gamin', 'time', 'little', 'factory', 'scene', 'worker', 'modern', 'honestly']","['time', 'chaplin', 'like', 'modern', 'machine', 'saw', 'charlie', 'scene', 'little', 'pace']","['great', 'chaplin', 'charlie', 'modern', 'tramp', 'quality', 'hilarious', 'best', 'make', 'cinema']","['youre', 'tone', 'chaplin', 'godard', 'year', 'picture', 'element', 'mr', 'tragedy', 'raise']","['chaplin', 'time', 'modern', 'century', 'charlie', 'httpwwwimdbcomlistlsfavorite', 'great', 'machine', 'silent', 'favorite']"
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,comedy,"['like', 'general', 'fun', 'hate', 'people', 'make', 'point', 'war', 'hell', 'president']","['time', 'nuclear', 'make', 'best', 'thats', 'kubrick', 'history', 'way', 'stanley', 'george']","['british', 'government', 'role', 'comical', 'masterpiece', 'simply', 'dr', 'president', 'character', 'best']","['make', 'present', 'idea', 'kubrick', 'depicts', 'nuclear', 'time', 'laugh', 'war', 'opinion']","['film', 'silly', 'havent', 'subject', 'great', 'classic', 'say', 'comedy', 'commander', 'funny']"
tt0118799,Life Is Beautiful,"Comedy, Drama, Romance, War",comedy,"['comedy', 'best', 'benigni', 'drama', 'like', 'son', 'war', 'existence', 'watch', 'topic']","['dark', 'benigni', 'holocaust', 'movie', 'actor', 'love', 'nazi', 'miss', 'la', 'vita']","['life', 'think', 'love', 'enjoy', 'try', 'guido', 'hope', 'purpose', 'time', 'family']","['kid', 'life', 'holocaust', 'beautiful', 'story', 'make', 'guido', 'smile', 'kill', 'way']","['half', 'manages', 'second', 'subtitle', 'realize', 'important', 'best', 'humor', 'know', 'people']"
tt0405508,Rang De Basanti,"Comedy, Drama",comedy,"['rdb', 'wait', 'excellent', 'india', 'people', 'different', 'miss', 'watch', 'present', 'indian']","['amaze', 'normal', 'begin', 'idea', 'manner', 'totally', 'truly', 'bad', 'half', 'student']","['watch', 'message', 'day', 'performance', 'make', 'actor', 'khan', 'think', 'amir', 'good']","['make', 'brilliant', 'really', 'kill', 'friend', 'movie', 'like', 'india', 'minister', 'rang']","['character', 'emotion', 'youth', 'use', 'point', 'number', 'great', 'best', 'understand', 'make']"
tt1049413,Up,"Animation, Adventure, Comedy, Family",comedy,"['teenage', 'watch', 'time', 'lie', 'enjoy', 'soon', 'commercial', 'preview', 'certainly', 'seek']","['story', 'disney', 'great', 'pixar', 'time', 'film', 'character', 'effect', 'kid', 'really']","['pixar', 'high', 'daughter', 'life', 'wait', 'rating', 'beautiful', 'old', 'wall', 'character']","['pixar', 'carl', 'feel', 'year', 'physic', 'wife', 'character', 'muntz', 'film', 'thats']","['carl', 'elli', 'come', 'story', 'kid', 'fall', 'russell', 'pixar', 'old', 'actually']"
tt1187043,3 Idiots,"Comedy, Drama",comedy,"['hirani', 'actor', 'best', 'ask', 'speak', 'title', 'idiot', 'act', 'coworkers', 'scene']","['high', 'school', 'life', 'study', 'suicide', 'understand', 'mind', 'thing', 'youre', 'method']","['idiot', 'film', 'dont', 'indian', 'watch', 'bollywood', 'best', 'worth', 'movie', 'moment']","['like', 'stupid', 'watch', 'completely', 'thought', 'student', 'minute', 'rancho', 'balatkar', 'director']","['aamir', 'watch', 'love', 'movie', 'im', 'look', 'like', 'amaze', 'idiot', 'funny']"
tt1675434,The Intouchables,"Biography, Comedy, Drama",comedy,"['film', 'character', 'surprised', 'life', 'really', 'guy', 'play', 'black', 'laugh', 'end']","['great', 'french', 'good', 'best', 'like', 'movie', 'friendship', 'love', 'driss', 'paul']","['great', 'story', 'difference', 'usa', 'good', 'review', 'write', 'support', 'stern', 'simple']","['meeting', 'poor', 'comedy', 'official', 'music', 'art', 'classical', 'actually', 'charactersthe', 'sy']","['ive', 'story', 'completely', 'life', 'people', 'act', 'care', 'remake', 'beautiful', 'opinion']"
tt1954470,Gangs of Wasseypur,"Action, Comedy, Crime, Drama, Thriller",comedy,"['terrific', 'tell', 'role', 'gang', 'blown', 'informative', 'answer', 'terentino', 'angle', 'way']","['film', 'indian', 'make', 'story', 'feel', 'family', 'like', 'moment', 'wasseypur', 'khan']","['character', 'wasseypur', 'gang', 'time', 'khan', 'really', 'make', 'sahid', 'hard', 'lot']","['cinema', 'movie', 'music', 'story', 'act', 'indian', 'great', 'khan', 'wasseypur', 'watch']","['today', 'role', 'memorable', 'gang', 'choose', 'excellent', 'chose', 'entertainmententertainment', 'wasseypur', 'skill']"
tt2283748,OMG: Oh My God!,"Comedy, Drama, Fantasy",comedy,"['pk', 'matter', 'concept', 'omg', 'aamir', 'khan', 'watch', 'courageous', 'idea', 'plot']","['guru', 'good', 'think', 'watch', 'god', 'rawal', 'lot', 'want', 'indian', 'bit']","['baba', 'child', 'function', 'social', 'cinema', 'fun', 'kind', 'day', 'home', 'handi']","['best', 'actor', 'act', 'watch', 'treat', 'head', 'hindi', 'force', 'say', 'justice']","['god', 'love', 'oh', 'perfect', 'akshay', 'say', 'watch', 'story', 'role', 'best']"
tt3322420,Queen,"Comedy, Drama",comedy,"['scene', 'cross', 'character', 'dirty', 'blame', 'street', 'place', 'like', 'connect', 'logic']","['indian', 'life', 'woman', 'like', 'beautiful', 'fertile', 'make', 'kangna', 'magic', 'men']","['insult', 'imdb', 'character', 'paris', 'people', 'rating', 'child', 'forgets', 'late', 'cover']","['performance', 'kangana', 'queen', 'scene', 'watch', 'ranaut', 'actress', 'like', 'kanganas', 'rani']","['kangana', 'fun', 'deserves', 'act', 'rani', 'want', 'woman', 'ranaut', 'indian', 'french']"
tt5027774,"Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama",comedy,"['chief', 'character', 'say', 'actually', 'normal', 'cop', 'police', 'happen', 'crime', 'old']","['character', 'like', 'billboard', 'dixon', 'make', 'maybe', 'hayes', 'thing', 'person', 'performance']","['way', 'dont', 'say', 'angela', 'generation', 'face', 'eighty', 'mcdorman', 'potion', 'brilliant']","['character', 'police', 'complex', 'slow', 'engross', 'hayes', 'predictable', 'incredible', 'intense', 'felt']","['great', 'way', 'amaze', 'job', 'line', 'yes', 'character', 'story', 'subject', 'screen']"
tt6751668,Parasite,"Comedy, Drama, Thriller",comedy,"['year', 'packed', 'movie', 'live', 'credit', 'overif', 'stay', 'enjoyment', 'darn', 'make']","['class', 'rich', 'people', 'clearly', 'dog', 'upper', 'hate', 'sort', 'american', 'family']","['family', 'park', 'mr', 'rich', 'poor', 'feel', 'kitaek', 'audience', 'try', 'character']","['good', 'parasite', 'family', 'sad', 'time', 'make', 'bong', 'affect', 'kim', 'wont']","['best', 'family', 'parasite', 'come', 'bong', 'ive', 'south', 'cinematography', 'french', 'sure']"
