imdb_id,name,genre,dataset_genre,topic1,topic2,topic3,topic4,topic5
tt0435761,Toy Story 3,"Animation, Adventure, Comedy, Family, Fantasy",animation,"['pixar', 'toy', 'story', 'make', 'well', 'first', 'character', 'say', 'much', 'time']","['toy', 'story', 'see', 'pixar', 'character', 'andy', 'first', 'year', 'go', 'child']","['toy', 'story', 'pixar', 'see', 'one', 'go', 'like', 'great', 'make', 'end']","['epic', 'film', 'best', 'ring', 'lord', 'end', 'cuddly', 'callback', 'realise', 'dragon']","['story', 'toy', 'pixar', 'like', 'character', 'kid', 'first', 'well', 'see', 'two']"
tt0910970,WALL·E,"Animation, Adventure, Family, Sci-Fi",animation,"['wall', 'pixar', 'however', 'robot', 'see', 'eve', 'well', 'love', 'character', 'animation']","['wall', 'eve', 'see', 'earth', 'love', 'robot', 'story', 'space', 'show', 'come']","['wall', 'see', 'one', 'pixar', 'robot', 'human', 'say', 'little', 'go', 'story']","['wall', 'pixar', 'see', 'story', 'one', 'human', 'earth', 'best', 'little', 'robot']","['story', 'good', 'see', 'make', 'one', 'time', 'think', 'go', 'people', 'well']"
tt2096673,Inside Out,"Animation, Adventure, Comedy, Drama, Family, Fantasy",animation,"['see', 'go', 'inside', 'talk', 'time', 'one', 'feel', 'depression', 'character', 'want']","['pixar', 'one', 'inside', 'watch', 'adult', 'like', 'story', 'make', 'time', 'emotion']","['character', 'pixar', 'make', 'come', 'idea', 'see', 'crap', 'get', 'joy', 'one']","['child', 'like', 'sadness', 'girl', 'emotion', 'pixar', 'end', 'get', 'watch', 'people']","['people', 'child', 'get', 'one', 'pixar', 'review', 'movie', 'rating', 'inside', 'good']"
tt2380307,Coco,"Animation, Adventure, Family, Fantasy, Music, Mystery",animation,"['ever', 'best', 'good', 'one', 'dead', 'story', 'watch', 'love', 'miguel', 'great']","['coco', 'best', 'one', 'something', 'ever', 'animate', 'great', 'come', 'every', 'see']","['family', 'go', 'one', 'pixar', 'message', 'death', 'know', 'take', 'see', 'coco']","['love', 'coco', 'story', 'watch', 'pixar', 'make', 'life', 'family', 'go', 'well']","['great', 'much', 'watch', 'masterpiece', 'say', 'animate', 'turn', 'time', 'part', 'play']"
tt4633694,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure, Family, Sci-Fi",animation,"['like', 'art', 'felt', 'amaze', 'see', 'movie', 'feel', 'animation', 'get', 'good']","['spider', 'character', 'see', 'man', 'animation', 'like', 'story', 'one', 'take', 'verse']","['see', 'spider', 'animation', 'great', 'story', 'character', 'make', 'man', 'like', 'never']","['animation', 'best', 'see', 'movie', 'soundtrack', 'beautiful', 'one', 'character', 'definitely', 'end']","['spider', 'man', 'make', 'watch', 'like', 'style', 'well', 'movie', 'get', 'see']"
tt5311514,Your Name.,"Animation, Drama, Fantasy, Romance",animation,"['love', 'taki', 'see', 'mitsuha', 'make', 'show', 'get', 'story', 'like', 'life']","['watch', 'make', 'pretty', 'life', 'time', 'end', 'leg', 'story', 'good', 'animation']","['watch', 'one', 'make', 'name', 'movie', 'well', 'see', 'anime', 'time', 'animation']","['watch', 'story', 'one', 'see', 'amaze', 'animation', 'heart', 'go', 'love', 'end']","['story', 'makoto_shinkai', 'name', 'great', 'plot', 'way', 'direction', 'art', 'go', 'work']"
tt5323662,A Silent Voice: The Movie,"Animation, Drama, Romance",animation,"['shoya', 'one', 'well', 'shoko', 'end', 'make', 'character', 'school', 'ishida', 'life']","['character', 'like', 'make', 'one', 'good', 'school', 'bully', 'anime', 'thought', 'story']","['anime', 'girl', 'people', 'story', 'one', 'beautiful', 'see', 'bully', 'friendship', 'redemption']","['well', 'character', 'story', 'time', 'animation', 'one', 'manga', 'make', 'anime', 'watch']","['story', 'character', 'manga', 'really', 'beautiful', 'great', 'way', 'one', 'love', 'say']"
tt0027977,Modern Times,"Comedy, Drama, Family, Romance",comedy,"['chaplin', 'time', 'charlie', 'modern', 'one', 'get', 'laugh', 'since', 'people', 'word']","['chaplin', 'time', 'charlie', 'factory', 'modern', 'way', 'machine', 'one', 'silent', 'make']","['chaplin', 'time', 'modern', 'tramp', 'one', 'make', 'great', 'machine', 'still', 'scene']","['time', 'chaplin', 'tramp', 'charlie', 'modern', 'one', 'life', 'machine', 'factory', 'make']","['charlie', 'chaplin', 'work', 'get', 'job', 'time', 'machine', 'modern', 'see', 'way']"
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,comedy,"['kubrick', 'war', 'like', 'ripper', 'nuclear', 'character', 'kong', 'sexual', 'buck', 'great']","['war', 'dr_strangelove', 'see', 'character', 'people', 'excellent', 'military', 'seem', 'kubrick', 'general']","['war', 'make', 'nuclear', 'comedy', 'also', 'general', 'kubrick', 'dr_strangelove', 'president', 'one']","['time', 'one', 'like', 'club', 'movie', 'watch', 'pair', 'last', 'still', 'war']","['one', 'make', 'war', 'world', 'nuclear', 'get', 'well', 'time', 'president', 'call']"
tt0118799,Life Is Beautiful,"Comedy, Drama, Romance, War",comedy,"['see', 'life', 'beautiful', 'holocaust', 'love', 'nazi', 'story', 'go', 'best', 'time']","['life', 'benigni', 'beautiful', 'train', 'love', 'holocaust', 'one', 'nazi', 'guido', 'story']","['half', 'first', 'life', 'much', 'time', 'second', 'make', 'less', 'important', 'well']","['dvd', 'rest', 'good', 'story', 'little', 'later', 'protects', 'gorgeous', 'bear', 'town']","['one', 'see', 'benigni', 'holocaust', 'italian', 'love', 'guido', 'fascist', 'character', 'make']"
tt0405508,Rang De Basanti,"Comedy, Drama",comedy,"['watch', 'rdb', 'get', 'movie', 'bollywood', 'indian', 'make', 'youth', 'india', 'freedom']","['make', 'one', 'india', 'well', 'like', 'character', 'go', 'think', 'people', 'say']","['character', 'make', 'like', 'people', 'good', 'show', 'well', 'emotion', 'india', 'youth']","['make', 'one', 'aamir', 'character', 'life', 'friend', 'act', 'story', 'watch', 'rang_de_basanti']","['freedom_fighter', 'story', 'message', 'without', 'one', 'good', 'end', 'sue', 'change', 'feel']"
tt1049413,Up,"Animation, Adventure, Comedy, Family",comedy,"['pixar', 'carl', 'one', 'see', 'character', 'old', 'adventure', 'house', 'story', 'well']","['pixar', 'story', 'wall', 'carl', 'disney', 'think', 'one', 'see', 'character', 'get']","['begin', 'carl', 'house', 'make', 'come', 'day', 'work', 'pixar', 'old', 'story']","['pixar', 'carl', 'house', 'see', 'old', 'well', 'dog', 'story', 'get', 'kid']","['kid', 'story', 'see', 'old', 'time', 'good', 'pixar', 'take', 'really', 'one']"
tt1187043,3 Idiots,"Comedy, Drama",comedy,"['aamir', 'every', 'good', 'best', 'actor', 'college', 'life', 'rancho', 'one', 'student']","['aamir', 'well', 'watch', 'best', 'good', 'character', 'part', 'one', 'like', 'try']","['love', 'rancho', 'thing', 'music', 'smart', 'despite', 'idiot', 'well', 'like', 'character']","['one', 'aamir', 'scene', 'rancho', 'well', 'see', 'go', 'life', 'get', 'character']","['like', 'rancho', 'well', 'make', 'idiot', 'take', 'film', 'year', 'good', 'see']"
tt1675434,The Intouchables,"Biography, Comedy, Drama",comedy,"['really', 'make', 'sy', 'well', 'great', 'good', 'one', 'philippe', 'driss', 'see']","['black', 'man', 'get', 'life', 'also', 'think', 'racist', 'take', 'love', 'amaze']","['story', 'life', 'french', 'see', 'give', 'man', 'true', 'good', 'get', 'really']","['see', 'driss', 'go', 'french', 'omar', 'like', 'best', 'sy', 'philippe', 'story']","['story', 'good', 'poor', 'guy', 'like', 'man', 'really', 'one', 'well', 'rich']"
tt1954470,Gangs of Wasseypur,"Action, Comedy, Crime, Drama, Thriller",comedy,"['story', 'khan', 'get', 'time', 'father', 'wasseypur', 'character', 'sahid', 'kill', 'revenge']","['one', 'revenge', 'story', 'khan', 'watch', 'time', 'make', 'feel', 'character', 'like']","['khan', 'wasseypur', 'one', 'part', 'make', 'character', 'sardar', 'shahid', 'story', 'like']","['make', 'watch', 'character', 'wasseypur', 'plot', 'khan', 'indian', 'take', 'scene', 'ramadhir_singh']","['gang', 'wasseypur', 'one', 'part', 'character', 'get', 'make', 'like', 'cinema', 'time']"
tt2283748,OMG: Oh My God!,"Comedy, Drama, Fantasy",comedy,"['god', 'watch', 'one', 'make', 'people', 'paresh', 'take', 'kanji', 'religion', 'also']","['god', 'make', 'religion', 'omg', 'good', 'paresh', 'watch', 'rawal', 'people', 'must']","['guru', 'well', 'time', 'true', 'grow', 'poor', 'show', 'base', 'viewer', 'god']","['god', 'watch', 'paresh', 'rawal', 'best', 'love', 'say', 'well', 'people', 'act']","['god', 'go', 'well', 'kanji', 'good', 'act', 'paresh', 'superb', 'life', 'make']"
tt3322420,Queen,"Comedy, Drama",comedy,"['life', 'go', 'performance', 'make', 'actress', 'woman', 'well', 'queen', 'also', 'see']","['like', 'woman', 'queen', 'story', 'indian', 'make', 'one', 'get', 'kangana', 'rani']","['kangana', 'well', 'watch', 'good', 'queen', 'like', 'bollywood', 'story', 'make', 'girl']","['one', 'go', 'rani', 'ranaut', 'watch', 'queen', 'character', 'well', 'kangana', 'make']","['kangana', 'rani', 'one', 'queen', 'watch', 'get', 'act', 'performance', 'time', 'go']"
tt5027774,"Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama",comedy,"['police', 'bad', 'get', 'time', 'find', 'best', 'well', 'go', 'daughter', 'people']","['chief', 'make', 'write', 'police', 'lot', 'say', 'call', 'character', 'go', 'sense']","['character', 'way', 'one', 'make', 'billboard', 'mildred', 'three', 'well', 'people', 'like']","['character', 'know', 'like', 'watch', 'see', 'go', 'person', 'comedy', 'unpleasant', 'amaze']","['person', 'character', 'chief', 'police', 'want', 'scene', 'france_mcdormand', 'sam_rockwell', 'bad', 'someone']"
tt6751668,Parasite,"Comedy, Drama, Thriller",comedy,"['family', 'parasite', 'make', 'one', 'get', 'ki_taek', 'mr_park', 'watch', 'class', 'character']","['get', 'one', 'park', 'make', 'family', 'story', 'like', 'go', 'take', 'mr_park']","['one', 'parasite', 'character', 'many', 'audience', 'social', 'family', 'go', 'plot', 'make']","['parasite', 'take', 'mr_kim', 'family', 'get', 'say', 'see', 'mr_park', 'really', 'scene']","['one', 'character', 'parasite', 'make', 'time', 'try', 'sometimes', 'good', 'almost', 'well']"
tt7653254,Marriage Story,"Comedy, Drama, Romance",comedy,"['get', 'like', 'story', 'charlie', 'watch', 'make', 'divorce', 'go', 'see', 'lawyer']","['divorce', 'well', 'make', 'marriage', 'like', 'love', 'scene', 'get', 'couple', 'performance']","['like', 'work', 'make', 'people', 'divorce', 'watch', 'baumbach', 'character', 'marriage', 'well']","['film', 'make', 'marriage', 'cinema', 'case', 'story', 'director', 'like', 'see', 'year']","['nicole', 'charlie', 'divorce', 'want', 'story', 'lawyer', 'child', 'make', 'marriage', 'get']"
tt0046912,Dial M for Murder,"Crime, Thriller",crime,"['kelly', 'cummings', 'milland', 'character', 'role', 'interest', 'time', 'story', 'look', 'waste']","['wife', 'wendice', 'murder', 'get', 'tony', 'character', 'see', 'like', 'hitchcock', 'plot']","['murder', 'hitchcock', 'milland', 'one', 'wendice', 'dial', 'kelly', 'perfect', 'grace', 'play']","['one', 'hitchcock', 'character', 'murder', 'milland', 'film', 'ray', 'tony', 'wendice', 'wife']","['make', 'hitchcock', 'well', 'time', 'murder', 'good', 'see', 'like', 'scene', 'milland']"
tt0056592,To Kill a Mockingbird,"Crime, Drama",crime,"['time', 'one', 'white', 'scout', 'atticus', 'see', 'kill_mockingbird', 'man', 'child', 'also']","['book', 'well', 'atticus', 'see', 'child', 'finch', 'time', 'good', 'read', 'character']","['atticus', 'see', 'one', 'scout', 'finch', 'child', 'ever', 'time', 'film', 'gregory_peck']","['book', 'like', 'remember', 'gregory_peck', 'year', 'stomach', 'watch', 'kill_mockingbird', 'old', 'love']","['child', 'one', 'atticus', 'book', 'see', 'black', 'story', 'finch', 'character', 'like']"
